jaspar_id,jaspar_name,correlation
MA0774.1,MEIS2,0.28410591710594174
MA1644.2,NFYC,0.28354136288397064
MA0822.1,HES7,0.2833378883003165
MA0622.2,Mlxip,0.28243951524544114
MA1934.2,ERF::FIGLA,0.2822993456048682
MA0526.5,USF2,0.28224613998296927
MA1939.2,ERF::SREBF2,0.28201725525878835
MA0640.3,ELF3,0.2818567779165863
MA0058.4,MAX,0.28125310847717366
MA0825.2,MNT,0.2798273350780584
MA0152.3,Nfatc2,0.2795909770380872
MA1960.2,MGA::EVX1,0.2784019176521811
MA0083.3,SRF,0.27804926085782167
MA0078.3,Sox17,0.2776045589940542
MA0076.3,ELK4,0.2772068448090638
MA1966.2,TFAP4::ETV1,0.27577575651627567
MA0469.4,E2F3,0.27568983992437823
MA0831.3,TFE3,0.27531593783710917
MA1592.2,ZNF274,0.27258839332374024
MA0092.2,Hand1::Tcf3,0.2717595459070768
MA0692.2,TFEB,0.27154681084650284
MA0091.2,TAL1::TCF3,0.27050862282314275
MA1989.2,Bcl11B,0.2702400462572183
MA0645.2,ETV6,0.2693062694946122
MA0130.1,ZNF354C,0.26906242824733373
MA0063.3,NKX2-5,0.268913376562488
MA0806.1,TBX4,0.2670885027078918
MA0598.4,EHF,0.2660256379793451
MA1646.2,OSR2,0.2656780765792697
MA1983.2,ZNF582,0.26466179440152626
MA0122.4,Nkx3-2,0.26361933256573716
MA2095.1,Sox7,0.2635333369346623
MA0087.3,Sox5,0.2635243886169986
MA2326.1,IKZF2,0.26347411569115964
MA0819.3,CLOCK,0.2631128072786452
MA0782.3,PKNOX1,0.25999954417290955
MA1984.2,ZNF667,0.25965521059932173
MA0515.1,Sox6,0.25918491885319084
MA0009.2,TBXT,0.2585641674238467
MA1708.2,ETV7,0.25743385663933904
MA1599.2,ZNF682,0.2569442391785226
MA0804.2,TBX19,0.2563317546663346
MA0502.3,NFYB,0.25413962918892524
MA0816.1,Ascl2,0.25352910506577286
MA1729.2,ZNF680,0.2530586281527568
MA1624.2,Stat5a,0.25284720376721115
MA0853.2,Alx4,0.2527599073797843
MA1588.1,ZNF136,0.24944791836751048
MA1602.2,ZSCAN29,0.24879739214880658
MA0797.1,TGIF2,0.2479462112803301
